"Province","AQI","CO_AQI","Ozone_AQI","NO2_AQI","PM25_AQI"
"Aceh",4,5,5,5,4
"Bali",5,5,5,5,5
"Banten",1,5,1,5,2
"Bengkulu",4,5,5,5,4
"Di Yogyakarta",4,5,5,5,4
"Gorontalo",5,5,5,5,5
"Jambi",4,5,5,5,4
"Jawa Barat",3,5,4,5,3
"Jawa Tengah",3,5,4,5,3
"Jawa Timur",3,5,4,5,3
"Kalimantan Barat",4,5,5,5,4
"Kalimantan Selatan",4,5,5,5,4
"Kalimantan Timur",4,5,5,5,4
"Kalimantan Utara",5,5,5,5,5
"Lampung",4,5,5,5,4
"Maluku",5,5,5,5,5
"Nusa Tenggara Barat",5,5,5,5,5
"Nusa Tenggara Timur",5,5,5,5,5
"Papua",5,5,5,5,5
"Papua Barat",5,5,5,5,5
"Riau",5,5,5,5,5
"Sulawesi Barat",5,5,5,5,5
"Sulawesi Selatan",5,5,5,5,5
"Sulawesi Tengah",5,5,5,5,5
"Sulawesi Tenggara",4,5,5,5,4
"Sulawesi Utara",5,5,5,5,5
"Sumatera Barat",4,5,5,5,4
"Sumatera Selatan",4,5,5,5,4
"Sumatera Utara",4,5,4,5,4
