"WindSpeedCategory","DirectionBin","Count"
3,0,0
3,10,0
3,20,0
3,30,0
3,40,0
3,50,0
3,60,0
3,70,0
3,80,0
3,90,0
3,100,0
3,110,0
3,120,0
3,130,0
3,140,0
3,150,1
3,160,8
3,170,5
3,180,12
3,190,11
3,200,12
3,210,12
3,220,3
3,230,0
3,240,0
3,250,0
3,260,0
3,270,0
3,280,1
3,290,0
3,300,0
3,310,0
3,320,0
3,330,0
3,340,0
3,350,0
3,360,0
4,0,0
4,10,0
4,20,0
4,30,0
4,40,0
4,50,0
4,60,0
4,70,0
4,80,0
4,90,0
4,100,1
4,110,0
4,120,0
4,130,2
4,140,23
4,150,118
4,160,293
4,170,470
4,180,437
4,190,336
4,200,300
4,210,317
4,220,302
4,230,234
4,240,129
4,250,45
4,260,5
4,270,0
4,280,0
4,290,0
4,300,0
4,310,0
4,320,0
4,330,0
4,340,0
4,350,1
4,360,1
5,0,0
5,10,0
5,20,0
5,30,0
5,40,0
5,50,0
5,60,0
5,70,1
5,80,0
5,90,1
5,100,0
5,110,1
5,120,0
5,130,0
5,140,14
5,150,54
5,160,116
5,170,154
5,180,134
5,190,75
5,200,32
5,210,31
5,220,36
5,230,54
5,240,91
5,250,79
5,260,25
5,270,1
5,280,0
5,290,0
5,300,0
5,310,0
5,320,0
5,330,0
5,340,1
5,350,0
5,360,0
6,0,0
6,10,0
6,20,0
6,30,0
6,40,0
6,50,0
6,60,0
6,70,0
6,80,0
6,90,0
6,100,0
6,110,0
6,120,0
6,130,0
6,140,0
6,150,2
6,160,2
6,170,5
6,180,1
6,190,0
6,200,1
6,210,3
6,220,0
6,230,0
6,240,6
6,250,4
6,260,9
6,270,2
6,280,0
6,290,0
6,300,0
6,310,0
6,320,0
6,330,0
6,340,0
6,350,0
6,360,0
7,0,0
7,10,0
7,20,0
7,30,0
7,40,0
7,50,0
7,60,0
7,70,0
7,80,0
7,90,0
7,100,1
7,110,0
7,120,0
7,130,0
7,140,0
7,150,0
7,160,0
7,170,0
7,180,0
7,190,0
7,200,0
7,210,0
7,220,0
7,230,0
7,240,0
7,250,0
7,260,1
7,270,0
7,280,0
7,290,0
7,300,0
7,310,0
7,320,0
7,330,0
7,340,1
7,350,0
7,360,0
8,0,0
8,10,0
8,20,0
8,30,0
8,40,0
8,50,0
8,60,0
8,70,1
8,80,0
8,90,0
8,100,0
8,110,0
8,120,0
8,130,0
8,140,0
8,150,0
8,160,0
8,170,0
8,180,0
8,190,0
8,200,0
8,210,0
8,220,0
8,230,0
8,240,0
8,250,0
8,260,0
8,270,0
8,280,0
8,290,0
8,300,0
8,310,0
8,320,0
8,330,0
8,340,0
8,350,0
8,360,0
